OS,Mode,Size_Label,Size_KB,Mean_ms,Median_ms,StdDev_ms,CI95_ms,Throughput_MBs
Linux (Ubuntu),CCM,1KB,1.0,0.0024755666666666665,0.002476,4.746565606569821e-06,1.6985366882190351e-06,394.48038832859817
Linux (Ubuntu),CTR,4KB,4.0,0.001848633333333333,0.001848,8.206319404027587e-06,2.936593684429797e-06,2113.0474765141817
Linux (Ubuntu),CBC,4KB,4.0,0.004461433333333334,0.004456,1.4552362844837808e-05,5.2074961648102435e-06,875.5594241013724
Linux (Ubuntu),OFB,4KB,4.0,0.004593233333333332,0.004588,1.3205754579840841e-05,4.725618585873911e-06,850.4357859750214
Linux (Ubuntu),CFB,4KB,4.0,0.004498466666666668,0.004498,1.017004842945548e-05,3.6393050913453984e-06,868.3514382678541
Linux (Ubuntu),XTS,4KB,4.0,0.0037813666666666667,0.003779,9.98786620176538e-06,3.5741120184328906e-06,1033.0259782618277
Linux (Ubuntu),ECB,4KB,4.0,0.0015239666666666666,0.0015245,6.42990498848308e-06,2.300911949807356e-06,2563.2122312386537
Linux (Ubuntu),GCM,4KB,4.0,0.0027386999999999997,0.0027325,1.5811715429629586e-05,5.6581496995916e-06,1426.3154051192173
Linux (Ubuntu),CCM,4KB,4.0,0.005282266666666666,0.005279,1.7274524462407013e-05,6.181609189246948e-06,739.5026125148296
Linux (Ubuntu),CTR,16KB,16.0,0.003687166666666666,0.0036905,1.0709593937159796e-05,3.832378971653949e-06,4237.671201916559
Linux (Ubuntu),CBC,16KB,16.0,0.014308533333333333,0.014326,3.656334449854846e-05,1.3084024792329104e-05,1092.0057028905828
Linux (Ubuntu),OFB,16KB,16.0,0.014774400000000002,0.014759,6.314657279039314e-05,2.2596710866340973e-05,1057.5725579380548
Linux (Ubuntu),CFB,16KB,16.0,0.014383866666666667,0.014381,1.3619796275081074e-05,4.8737815036780035e-06,1086.2864876389287
Linux (Ubuntu),XTS,16KB,16.0,0.010721499999999997,0.010717,3.123741125748053e-05,1.117816405874143e-05,1457.352049619923
Linux (Ubuntu),ECB,16KB,16.0,0.002957266666666666,0.0029565,1.0744471981485192e-05,3.8448599195245576e-06,5283.595211794677
Linux (Ubuntu),GCM,16KB,16.0,0.0065543,0.0062935,0.0014107241268472605,0.0005048211454381356,2383.9311596966877
Linux (Ubuntu),CCM,16KB,16.0,0.016699366666666663,0.016697,2.2466040783941872e-05,8.039369445928059e-06,935.664226787044
Linux (Ubuntu),CTR,256KB,256.0,0.04010876666666666,0.03993,0.0006317176739178908,0.00022605726638662082,6233.051294687862
Linux (Ubuntu),CBC,256KB,256.0,0.21092940000000002,0.2108845,0.00013358107443899248,4.780137358099512e-05,1185.2306980439898
Linux (Ubuntu),OFB,256KB,256.0,0.21653966666666666,0.216361,0.0006516820323320023,0.0002332014202936451,1154.522881873837
Linux (Ubuntu),CFB,256KB,256.0,0.21551783333333335,0.2148015,0.002272628556863455,0.0008132496846106906,1159.9968138754177
Linux (Ubuntu),XTS,256KB,256.0,0.17079566666666662,0.17065699999999998,0.0004528360693972216,0.00016204530630641097,1463.7373703860562
Linux (Ubuntu),ECB,256KB,256.0,0.03373983333333333,0.0337665,0.00014650104938622243,5.242472723871477e-05,7409.639446944512
Linux (Ubuntu),GCM,256KB,256.0,0.0784048,0.07830799999999999,0.0003322307465685819,0.00011888724580569763,3188.580291002592
Linux (Ubuntu),CCM,256KB,256.0,0.2454393666666666,0.24501900000000001,0.0018769662331085998,0.000671663740425399,1018.5815070959144
Linux (Ubuntu),CTR,1MB,1024.0,0.15338693333333336,0.1532535,0.0004943858561009269,0.00017691370652534735,6519.460153928799
Linux (Ubuntu),CBC,1MB,1024.0,0.8440189666666666,0.8434415000000001,0.0023820794231429222,0.0008524161740985245,1184.8074978093898
Linux (Ubuntu),OFB,1MB,1024.0,0.8649789999999999,0.8641595,0.00233140382454508,0.0008342821440333424,1156.0974312671174
Linux (Ubuntu),CFB,1MB,1024.0,0.8494362666666667,0.8484704999999999,0.002234613380636478,0.0007996461285066182,1177.251359803804
Linux (Ubuntu),XTS,1MB,1024.0,0.6857231333333335,0.685406,0.0016361878050313542,0.0005855022864986177,1458.3145170251898
Linux (Ubuntu),ECB,1MB,1024.0,0.12607666666666664,0.125806,0.0007114861247748464,0.00025460203992886413,7931.6817809269505
Linux (Ubuntu),GCM,1MB,1024.0,0.3057875666666667,0.3056105,0.0007623104030345574,0.00027278927432774943,3270.244146617254
Linux (Ubuntu),CCM,1MB,1024.0,0.9804344999999999,0.9800905,0.0026430551777088898,0.0009458051484871631,1019.9559481026016
Linux (Ubuntu),CTR,8MB,8192.0,2.7890978333333334,2.771952,0.07924255775958783,0.02835658511423043,2868.3110016398973
Linux (Ubuntu),CBC,8MB,8192.0,7.840078500000001,7.813408000000001,0.07430518395836326,0.02658976859046349,1020.3979462705635
Linux (Ubuntu),OFB,8MB,8192.0,7.836409566666666,7.8364195,0.090176998831487,0.03226942459970666,1020.8756870020156
Linux (Ubuntu),CFB,8MB,8192.0,7.386678833333334,7.382728,0.04171446687370548,0.014927330260939925,1083.030707101949
Linux (Ubuntu),XTS,8MB,8192.0,6.328681133333332,6.252959,0.25992205037117194,0.09301191118510614,1264.086439410541
Linux (Ubuntu),ECB,8MB,8192.0,2.1826002,2.1571845000000005,0.0888380931444661,0.03179030335289984,3665.3529125489863
Linux (Ubuntu),GCM,8MB,8192.0,3.3860489333333335,3.3555249999999996,0.0794581520884154,0.028433734553980877,2362.635672876868
Linux (Ubuntu),CCM,8MB,8192.0,8.417895133333333,8.3932495,0.16323172244045617,0.05841172170095924,950.356338881136
